
Name                                      Length LastWriteTimeUtc   
SVCHOST.EXE-D5481872.pf                    18448 17/07/2026 13:46:49
SVCHOST.EXE-D8C907E1.pf                     6930 17/07/2026 13:26:45
SVCHOST.EXE-DDF1360E.pf                     6127 14/07/2026 08:12:34
SVCHOST.EXE-DF14C859.pf                     6803 17/07/2026 13:53:30
SVCHOST.EXE-E5CD0034.pf                    12284 17/07/2026 13:53:31
SVCHOST.EXE-EA9BB143.pf                     7239 17/07/2026 13:48:51
SVCHOST.EXE-EBBF67E6.pf                    17349 17/07/2026 13:48:22
SVCHOST.EXE-F952D9A9.pf                    24840 17/07/2026 13:46:49
SVCHOST.EXE-FA38241C.pf                     7893 17/07/2026 13:38:14
SVCHOST.EXE-FB759C0F.pf                     4848 16/07/2026 08:29:47
SVCHOST.EXE-FC42C687.pf                     7565 14/07/2026 12:23:42
SVCHOST.EXE-FC46CD61.pf                    15218 14/07/2026 12:12:13
SYSTEMINFO.EXE-3EAAF1C2.pf                  5281 17/07/2026 13:58:32
SYSTEMSETTINGS.EXE-AD6D6913.pf             96255 17/07/2026 13:50:09
SYSTEMSETTINGSADMINFLOWS.EXE-F74198E7.pf   34421 14/07/2026 08:26:44
TASKHOSTW.EXE-2E5D4B75.pf                  19968 17/07/2026 13:56:01
TASKKILL.EXE-BE180FC8.pf                    5746 14/07/2026 11:48:40
TIWORKER.EXE-C741055F.pf                   38113 14/07/2026 10:44:36
TIWORKER.EXE-D1C044D3.pf                   41809 17/07/2026 13:38:14
TRUSTEDINSTALLER.EXE-766EFF52.pf            6619 17/07/2026 13:38:14
UIEORCHESTRATOR.EXE-C4670673.pf             6540 17/07/2026 13:58:13
UIEORCHESTRATOR.EXE-C9987E34.pf            43194 14/07/2026 10:55:49
UIEORCHESTRATORSTUB.EXE-83FF9FFA.pf         3175 17/07/2026 13:58:13
UPDATEPLATFORM.EXE-CE2B2ACB.pf             18787 14/07/2026 11:48:30
UPFC.EXE-89D4FAEB.pf                        3100 17/07/2026 13:26:45
USEROOBEBROKER.EXE-65584ADF.pf              7467 16/07/2026 08:19:51
USOCLIENT.EXE-4ADC110B.pf                  12429 14/07/2026 09:54:53
VC_REDIST.X64.EXE-6FE859E3.pf              13204 14/07/2026 09:59:31
VC_REDIST.X86.EXE-FDDBA21E.pf              14396 14/07/2026 09:59:28
VCREDIST_X64.EXE-2FCEC7CA.pf                7789 14/07/2026 09:59:31
VCREDIST_X64.EXE-EB72154A.pf               25629 14/07/2026 09:59:31
VCREDIST_X86.EXE-215F1F4E.pf                9883 14/07/2026 09:59:28
VCREDIST_X86.EXE-7375DF65.pf               27952 14/07/2026 09:59:28
VDS.EXE-2FCA9D16.pf                         6266 14/07/2026 10:44:58
VDSLDR.EXE-50179B50.pf                      3990 14/07/2026 10:44:58
VERCLSID.EXE-AB0FD091.pf                    4658 14/07/2026 11:31:53
VGAUTHSERVICE.EXE-779D9D39.pf              13986 14/07/2026 10:00:16
VMTOOLSD.EXE-90328040.pf                   37854 17/07/2026 13:46:49
VMWARERESOLUTIONSET.EXE-38A925F2.pf        11917 17/07/2026 13:26:38
VMWARETOOLBOXCMD.EXE-FB464DC1.pf            7273 17/07/2026 13:28:02
VSSVC.EXE-6C8F0C66.pf                       7342 16/07/2026 08:19:16
WERFAULT.EXE-8EE1E6D7.pf                    5211 14/07/2026 11:25:22
WERMGR.EXE-BE3A79B5.pf                     18802 14/07/2026 12:12:39
WERMGR.EXE-F439C551.pf                     10894 14/07/2026 10:47:39
WEVTUTIL.EXE-1E154F39.pf                    5938 17/07/2026 13:31:58
WHOAMI.EXE-9D378AFE.pf                      3138 14/07/2026 10:08:04
WIDGETS.EXE-93188904.pf                    45873 14/07/2026 09:50:46
WIDGETS.EXE-E998E6EC.pf                    38524 17/07/2026 13:46:49
WIDGETSERVICE.EXE-03CC7297.pf              17408 14/07/2026 10:36:20
WIDGETSERVICE.EXE-C21EFD8F.pf              15541 17/07/2026 13:46:49
WINDOWS-KB890830-X64-V5.142.E-92039E5E.pf  41035 14/07/2026 10:20:05
WINDOWSPACKAGEMANAGERSERVER.E-AFF4EFA9.pf  37891 17/07/2026 13:27:00
WINDOWSTERMINAL.EXE-0DDF887E.pf            29244 14/07/2026 08:26:14
WINLOGON.EXE-DEDDC9B6.pf                    6299 14/07/2026 08:14:49
WINSAT.EXE-C345C80B.pf                     12981 16/07/2026 09:04:40
WINSTORE.APP.EXE-D3CC3D1B.pf               61718 14/07/2026 11:22:38
WLRMDR.EXE-A7C36FDD.pf                      5182 17/07/2026 13:46:49
WMIADAP.EXE-BB21CD77.pf                     9239 17/07/2026 13:50:19
WMIAPSRV.EXE-FC8436DD.pf                    7696 14/07/2026 11:38:42
WMIPRVSE.EXE-E8B8DD29.pf                   17202 17/07/2026 13:56:36
WSCRIPT.EXE-3FF4D889.pf                    11324 14/07/2026 10:04:25
WUAUCLTCORE.EXE-07BDE0CF.pf                60165 14/07/2026 10:44:30
WUAUCLTCORE.EXE-84257BB2.pf                19357 17/07/2026 13:56:38
WWAHOST.EXE-55C529F0.pf                    75577 14/07/2026 08:15:00


